               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.016743,            0.016056,          0.00077193,              0.9951,             0.99733,             0.99241,             0.92738,            0.010121,           0.0092659,          0.00059779,           0.0058766,           0.0058766,           0.0058766
                  73,            0.016488,            0.016181,          0.00066556,             0.99645,             0.99946,             0.99316,             0.92783,            0.010179,            0.009435,           0.0005355,           0.0057826,           0.0057826,           0.0057826
                  74,            0.016463,             0.01531,          0.00072576,             0.99641,             0.99893,             0.99348,             0.93195,            0.010149,           0.0091469,          0.00046554,           0.0056884,           0.0056884,           0.0056884
                  75,            0.017029,            0.015938,          0.00057321,             0.99713,                   1,             0.99281,             0.93556,           0.0099698,           0.0090808,          0.00036024,           0.0055942,           0.0055942,           0.0055942
                  76,            0.017213,               0.016,          0.00063853,             0.99703,             0.99999,             0.99307,             0.93732,           0.0097865,           0.0089108,          0.00047714,              0.0055,              0.0055,              0.0055
                  77,            0.016214,            0.015081,          0.00060675,              0.9964,             0.99733,             0.99326,             0.92449,            0.010499,           0.0094423,          0.00045373,           0.0054058,           0.0054058,           0.0054058
                  78,            0.016726,            0.015386,          0.00069972,             0.99686,             0.99947,             0.99343,             0.93551,           0.0099066,           0.0091898,          0.00043392,           0.0053116,           0.0053116,           0.0053116
                  79,             0.01558,            0.015246,          0.00070494,             0.99655,             0.99947,             0.99361,             0.94323,           0.0095427,           0.0084949,          0.00048389,           0.0052174,           0.0052174,           0.0052174
                  80,            0.016094,            0.015317,          0.00061452,             0.99698,             0.99946,             0.99362,             0.93661,            0.009826,           0.0089937,          0.00041391,           0.0051234,           0.0051234,           0.0051234
                  81,            0.015902,            0.015014,          0.00054717,             0.99647,             0.99839,               0.994,             0.93964,           0.0095323,           0.0088293,          0.00039358,           0.0050296,           0.0050296,           0.0050296
                  82,            0.016222,            0.014975,          0.00060743,             0.99653,             0.99839,              0.9937,             0.93192,           0.0095752,           0.0085393,          0.00040925,            0.004936,            0.004936,            0.004936
                  83,            0.016043,            0.015404,          0.00058933,             0.99582,             0.99893,             0.99378,             0.92466,            0.010265,           0.0091308,          0.00038003,           0.0048426,           0.0048426,           0.0048426
                  84,            0.015727,            0.015148,          0.00060319,             0.99646,             0.99891,              0.9939,             0.94518,           0.0092921,           0.0085851,           0.0004243,           0.0047495,           0.0047495,           0.0047495
                  85,            0.015114,            0.014954,          0.00060309,             0.99592,             0.99893,              0.9937,             0.94788,           0.0091676,           0.0086351,          0.00041129,           0.0046568,           0.0046568,           0.0046568
                  86,            0.015227,             0.01492,          0.00059391,             0.99711,             0.99947,             0.99354,              0.9403,           0.0097072,           0.0087876,          0.00038083,           0.0045644,           0.0045644,           0.0045644
                  87,            0.015424,             0.01437,           0.0005006,             0.99649,             0.99893,             0.99348,             0.93982,           0.0092889,           0.0088678,          0.00040697,           0.0044724,           0.0044724,           0.0044724
                  88,            0.014841,            0.014254,          0.00053802,             0.99616,             0.99947,             0.99281,             0.94705,           0.0090895,           0.0083502,          0.00036452,           0.0043809,           0.0043809,           0.0043809
                  89,            0.014745,            0.013557,          0.00048194,             0.99591,             0.99839,             0.99258,             0.94686,           0.0093011,           0.0083965,          0.00033718,           0.0042899,           0.0042899,           0.0042899
                  90,            0.014584,            0.014013,          0.00054322,             0.99584,             0.99893,             0.99334,             0.95066,           0.0089942,           0.0084211,          0.00038715,           0.0041994,           0.0041994,           0.0041994
