               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,             0.03062,            0.014847,           0.0008768,             0.99188,             0.99699,             0.99491,             0.86024,            0.025877,            0.010045,          0.00069196,            0.005908,            0.005908,            0.005908
                  64,            0.028704,            0.013679,          0.00090866,             0.99549,             0.99445,             0.99487,             0.86679,            0.025547,            0.010036,          0.00064569,            0.005842,            0.005842,            0.005842
                  65,            0.028034,             0.01395,          0.00085049,             0.99396,             0.99632,             0.99489,             0.86794,            0.025196,            0.010059,          0.00065357,            0.005776,            0.005776,            0.005776
                  66,            0.027529,            0.014189,           0.0009263,             0.99424,             0.99548,             0.99492,             0.87247,            0.025868,           0.0097826,          0.00051161,             0.00571,             0.00571,             0.00571
                  67,            0.027871,              0.0141,           0.0010256,             0.99591,             0.99146,             0.99489,             0.87898,            0.025464,            0.009751,          0.00069466,            0.005644,            0.005644,            0.005644
                  68,             0.02769,            0.013673,          0.00080719,             0.99849,             0.99301,             0.99497,             0.87759,            0.024811,           0.0097019,          0.00050703,            0.005578,            0.005578,            0.005578
                  69,            0.027549,            0.013762,          0.00079303,             0.99621,             0.99592,             0.99492,             0.87772,            0.025212,           0.0095159,          0.00059199,            0.005512,            0.005512,            0.005512
                  70,            0.027655,            0.013748,          0.00077226,             0.99648,             0.99364,             0.99495,             0.86837,            0.025384,           0.0095794,          0.00061049,            0.005446,            0.005446,            0.005446
                  71,            0.028372,            0.014043,          0.00079232,             0.99594,             0.99418,             0.99487,             0.88294,              0.0247,           0.0095625,          0.00064855,             0.00538,             0.00538,             0.00538
                  72,             0.02767,            0.013536,          0.00071761,             0.99469,             0.99548,             0.99496,             0.88529,            0.024647,           0.0096013,          0.00059202,            0.005314,            0.005314,            0.005314
                  73,            0.027296,            0.013458,          0.00090531,             0.99698,             0.99544,             0.99495,             0.87528,            0.024968,           0.0094568,           0.0005295,            0.005248,            0.005248,            0.005248
                  74,            0.027209,            0.013277,          0.00086367,             0.99548,             0.99446,             0.99487,             0.88047,            0.024456,           0.0093076,          0.00054996,            0.005182,            0.005182,            0.005182
                  75,            0.027465,            0.013709,           0.0008521,             0.99734,             0.99598,             0.99499,             0.88444,            0.024911,           0.0092745,           0.0005178,            0.005116,            0.005116,            0.005116
                  76,            0.027415,            0.013446,          0.00069223,             0.99359,             0.99492,             0.99473,             0.88031,            0.024791,           0.0095491,          0.00068723,             0.00505,             0.00505,             0.00505
                  77,            0.027243,            0.013227,          0.00078468,             0.99802,             0.99646,             0.99497,             0.87975,            0.024587,           0.0093548,          0.00052028,            0.004984,            0.004984,            0.004984
